AllyCode,Name,DiscordTag,DiscordId,CharacterGP,ShipGP,LeagueId,SkillRating,TotalScore,ModScore,GearScore,Star7Count,G11Count,G12Count,G13Count,ZetaCount,OmiCount,TWOmiCount,GACOmiCount,TBOmiCount,CQOmiCount,Relic1Count,Relic2Count,Relic3Count,Relic4Count,Relic5Count,Relic6Count,Relic7Count,Relic8Count,Relic9Count,Relic10Count,Mod6Dot,Speed10,Speed15,Speed20,Speed25,UltimateGLCount
729835146,"Yania May","YaniaMay#7722",433280499042091014,7568773,4559121,"CHROMIUM",2750,9.62,3.03,6.58,344,6,17,247,303,46,10,31,4,1,3,2,38,6,80,10,58,31,12,1,455,608,255,89,13,9
473794447,"ItzBerndern","ItzBerndern#5396",200418284783403013,8921278,4967886,"KYBER",3462,12.39,5.28,7.11,385,0,17,289,390,84,16,57,9,1,3,2,31,1,71,12,78,49,38,2,702,931,469,257,74,10
611865263,"Salvare","Salvare#2619",467081223676624897,7940402,4733386,"AURODIUM",2774,11.45,5.09,6.37,365,2,60,236,367,50,17,31,1,0,4,7,21,10,69,9,86,13,11,1,571,915,421,183,51,9
341125679,"8","8........#0588",476527780746756103,8101885,4750782,"AURODIUM",2718,10.84,4.02,6.83,359,2,24,272,343,53,10,33,7,0,14,5,24,3,80,17,93,18,10,1,699,883,356,131,24,9
453925665,"N7 Tesla","n7tesla#0000",406243814748192768,7860432,4851166,"AURODIUM",2818,13.12,6.36,6.76,355,5,15,270,321,55,15,38,2,0,3,2,51,5,93,13,75,18,10,0,516,1030,518,211,72,9
788557913,"s0da p0pinski","s0da_p0pinski#0000",481439948671680515,8989993,5090794,"KYBER",3437,12.61,5.43,7.18,370,0,4,304,397,86,15,68,2,1,1,1,5,2,78,32,132,28,19,0,721,1149,526,214,41,9
778628584,"Bobandy","bobandy8960#0000",669017708443992086,8852894,4937962,"KYBER",3423,11.7,4.56,7.14,379,0,11,305,406,92,19,69,3,1,4,1,40,6,80,15,117,14,20,1,666,1101,450,149,23,10
944998814,"Philadelphia Collins","_philadelphiacollins#0000",668504480861388830,8858884,4959956,"KYBER",3497,12.37,5.27,7.1,379,0,16,298,406,85,15,65,3,1,5,1,33,4,81,12,112,23,22,1,901,1002,514,200,26,10
879666349,"Skcampy","skcampy#3655",297208034860597248,7976758,4769128,"KYBER",3132,9.17,2.77,6.41,343,6,15,251,367,41,6,31,1,0,6,1,35,4,63,10,94,21,12,1,768,621,247,73,14,9
716951122,"MINI Mace Dymond","dymo0000#0000",612382242475606018,8593474,4910216,"KYBER",3339,10.52,3.61,6.92,377,1,23,283,383,69,14,49,5,0,6,0,44,4,78,12,79,35,22,0,851,866,347,95,22,10
436482977,"PaulB086","paulb086#0000",403550274435678209,8543034,4885293,"KYBER",3119,13.09,5.72,7.37,375,0,15,299,289,72,21,48,3,0,1,0,5,24,113,9,94,44,9,0,443,1272,511,248,50,9
