Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
Gut0182,66157615,50,53,1,Yes,13634637,11234637,12,0,21,Yes,13031141,11281141,6,0,9,Yes,12949329,11300579,6,1,11,Yes,14205617,11313117,8,2,10,Yes,12336891,11313141,2,0,2,No,0,0,0,0,0
rockoffanddie,95914461,47,93,0,Yes,15198550,12198550,14,0,24,Yes,14238683,12238683,8,0,11,Yes,14410515,12261765,7,2,12,Yes,16017086,12263336,11,1,13,Yes,17441105,12267510,12,0,16,Yes,18608522,12271020,11,0,17
Kayid,44022204,3,6,0,Yes,7610460,7210460,2,0,4,Yes,7222691,7222691,0,0,0,Yes,7472707,7222707,1,1,2,Yes,7222724,7222724,0,0,0,Yes,7246811,7246811,0,0,0,Yes,7246811,7246811,0,0,0
PaulB086,89797934,106,58,0,Yes,15576473,12976473,12,0,20,Yes,14227499,12977499,6,0,8,Yes,14446476,12980226,6,2,8,Yes,15903030,13010530,6,1,10,Yes,14542105,13014605,5,0,5,Yes,15102351,13024382,6,0,7
Only Bak,58677874,14,20,0,Yes,10129347,9329347,5,0,8,Yes,10079347,9329347,3,0,5,Yes,10146994,9359494,4,1,6,Yes,9359494,9359494,0,0,0,Yes,9561687,9399187,1,0,1,Yes,9401005,9401005,0,0,0
DoritosJesus,55929455,11,40,1,No,2609902,1209902,7,0,10,Yes,12788104,11788104,4,0,10,Yes,13207116,11774616,5,2,8,Yes,12480991,11798491,3,1,6,Yes,14843342,11808654,5,0,4,No,0,0,0,0,2
MINIxur'kthan,102204237,72,110,8,Yes,15706468,12506468,13,1,23,Yes,16487802,12487802,13,0,21,Yes,16652003,12509503,12,3,21,Yes,17664103,12545353,10,1,17,Yes,17788038,12559599,8,1,12,Yes,17905823,12555509,10,1,16
CloneOfPumbaa,60900046,44,0,0,Yes,12174641,12174641,0,0,0,Yes,12179351,12179351,0,0,0,Yes,12179351,12179351,0,1,0,Yes,12180491,12180491,0,0,0,Yes,12186212,12186212,0,0,0,No,0,0,0,0,0
GrandMoff GOAT,79520553,23,45,0,Yes,14017533,12217533,9,0,16,Yes,13470045,12220045,5,0,10,Yes,12973996,12223996,3,2,6,Yes,13591411,12226411,4,0,8,Yes,13069910,12235066,2,0,4,Yes,12397658,12235158,1,0,1
Skcampy,54399397,8,26,0,No,998149,398149,3,0,0,No,1618669,743669,4,0,7,Yes,14187500,12413750,6,2,17,Yes,12755337,12414087,1,0,2,Yes,12419840,12419840,0,0,0,Yes,12419902,12419902,0,0,0
