Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
Pussbag,42632148,0,0,0,Yes,8517465,8517465,0,0,0,No,0,0,0,0,0,Yes,8521126,8521126,0,0,0,Yes,8526060,8526060,0,0,0,Yes,8528055,8528055,0,0,0,Yes,8539442,8539442,0,0,0
Gut0182,42464876,32,45,0,Yes,14129421,11729421,11,0,21,No,1723818,973818,3,1,4,Yes,13337974,11742974,6,1,11,Yes,13273663,11746163,5,1,9,No,0,0,0,0,0,No,0,0,0,0,0
PaulB086,95108080,118,66,0,Yes,16046545,13346545,12,0,21,Yes,15096965,13346965,6,0,9,Yes,15155827,13348327,6,2,10,Yes,16418425,13347175,6,1,11,Yes,16256370,13363870,5,0,7,Yes,16133948,13373479,6,0,8
Only Bak,61735552,16,29,1,Yes,10849435,9649435,7,0,12,Yes,10399435,9649435,4,0,5,Yes,10763139,9671889,5,1,8,Yes,10013139,9671889,3,1,2,Yes,10024101,9682851,3,0,2,Yes,9686303,9686303,0,0,0
DoritosJesus,74979410,25,59,0,Yes,14843072,12143072,12,0,21,No,3402548,1652548,6,1,9,Yes,13246368,12222618,3,2,6,Yes,13248747,12224997,4,0,6,Yes,15507155,12253092,8,0,9,Yes,14731520,12263550,4,0,8
MINIxur'kthan,104690422,74,112,8,Yes,15855204,12855204,14,1,24,Yes,16212616,12837616,13,0,19,Yes,17166011,12844761,12,3,22,Yes,18270833,12837239,11,2,18,Yes,19713553,12845895,11,0,18,Yes,17472205,12840953,7,2,11
CloneOfPumbaa,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0
GrandMoff GOAT,84798003,46,59,1,Yes,14384910,12584910,9,0,18,Yes,14088150,12588150,6,0,10,Yes,13340509,12590509,3,2,6,Yes,14453833,12595239,5,0,10,Yes,13772062,12595968,3,0,6,Yes,14758539,12601351,5,0,9
Skcampy,68563147,7,28,0,No,3697956,1697956,10,0,20,Yes,13431845,12681845,3,0,4,Yes,12681845,12681845,0,0,0,Yes,13364501,12682001,2,2,4,Yes,12688561,12688561,1,0,0,Yes,12698439,12698439,0,0,0
OhMyPretzel,64030548,32,39,0,Yes,13696864,11696864,10,0,20,Yes,13500059,11750059,6,1,9,Yes,13221192,11788692,5,1,10,Yes,11788692,11788692,0,1,0,Yes,11791307,11791307,0,0,0,No,32434,32434,0,0,0
Seeuker,74415721,2,34,0,Yes,13419011,11619011,9,0,15,Yes,12623741,11623741,4,0,7,Yes,12373741,11623741,3,1,6,Yes,12677558,11653808,3,1,6,Yes,11657172,11657172,0,0,0,Yes,11664498,11664498,0,0,0
GET WRECKED,40027507,2,14,0,Yes,10109688,9109688,5,0,7,No,0,0,0,0,0,Yes,9951148,9109898,3,1,3,Yes,10637398,9109898,3,1,3,Yes,9329273,9109898,2,0,1,No,0,0,0,0,0
Salvare,76486946,9,56,3,Yes,15465181,12565181,13,0,23,No,5540255,2540255,10,0,16,Yes,13497681,12565181,3,1,6,Yes,14615489,12567989,4,1,6,Yes,13591739,12567989,2,0,3,Yes,13776601,12570038,2,0,2
HonkaHonka,68830129,7,40,0,Yes,12545097,10445097,10,0,18,Yes,11827668,10452668,6,0,9,Yes,12471011,10538511,7,1,11,Yes,10541738,10541738,0,0,0,Yes,10542133,10542133,0,0,0,Yes,10902482,10561232,1,0,2
ItzBerndern,115093252,45,131,9,Yes,17232851,13832851,14,1,25,Yes,18085880,13835880,14,1,23,Yes,18161092,13839842,12,3,22,Yes,21438084,13841208,16,0,28,Yes,20343327,13841294,13,1,18,Yes,19832018,13835766,10,3,15
Viirx,49133192,10,6,0,Yes,12733298,12133298,3,0,6,Yes,12133298,12133298,0,0,0,Yes,12133298,12133298,0,1,0,Yes,12133298,12133298,0,2,0,No,0,0,0,0,0,No,0,0,0,0,0
burly kernel,65503486,33,16,0,No,342228,342228,0,0,0,Yes,14059474,12559474,6,0,10,Yes,13392207,12550957,3,1,6,Yes,12555395,12555395,0,2,0,Yes,12576497,12576497,0,0,0,Yes,12577685,12577685,0,0,0
SuperKlago,45223340,2,12,0,No,265533,165533,1,0,1,Yes,9750111,8500111,4,0,7,Yes,8977834,8511584,2,1,3,Yes,9194855,8512355,2,0,1,Yes,8515828,8515828,1,0,0,Yes,8519179,8519179,0,0,0
Berk Law,93356208,17,83,0,Yes,15146822,12546822,12,1,20,Yes,14560727,12560727,7,1,11,Yes,14348961,12575211,8,1,12,Yes,16133961,12575211,11,1,16,Yes,16936306,12575211,9,1,13,Yes,16229431,12575211,8,0,11
Coup de grâce,59458744,0,0,0,Yes,9903985,9903985,0,0,0,Yes,9907462,9907462,0,0,0,Yes,9911515,9911515,3,0,0,Yes,9911515,9911515,0,0,0,Yes,9911515,9911515,0,0,0,Yes,9912752,9912752,0,0,0
Toughnoodles,79786825,1,49,0,Yes,13679241,11479241,9,0,16,Yes,12733473,11483473,6,1,8,Yes,13304391,11496891,7,1,10,Yes,12873597,11508597,3,1,4,Yes,13715129,11505129,5,0,6,Yes,13480994,11506618,3,1,5
Philadelphia Collins,99472610,51,79,0,Yes,16782500,13782500,13,1,24,Yes,15782500,13782500,7,1,11,Yes,15385438,13794188,5,1,9,Yes,18571886,13794386,11,1,18,Yes,17946737,13796893,10,1,15,Yes,15003549,13796986,2,1,2
Saki,59087480,12,34,0,Yes,10179050,8979050,6,0,12,Yes,9729050,8979050,3,0,5,Yes,9695765,8979515,4,1,5,Yes,9673240,8990740,2,2,4,Yes,9657858,9001764,2,0,3,Yes,10152517,9002829,3,0,5
Lore Maestro,85463402,17,97,1,Yes,14961053,11961053,14,0,24,Yes,13491748,11991748,7,1,10,No,4047941,1774191,7,2,13,Yes,17417202,11993764,12,1,20,Yes,18778165,12032382,12,0,17,Yes,16767293,12032448,10,0,13
Chapolin Colorado,84821166,3,33,1,Yes,14458912,13358912,6,0,11,Yes,14858125,13358125,6,1,10,Yes,14379778,13356028,3,1,6,Yes,14389937,13366187,3,1,6,Yes,13366187,13366187,0,0,0,Yes,13368227,13368227,0,0,0
PantherNP,66045386,2,35,1,Yes,11502908,9702908,9,0,15,Yes,11078184,9703184,5,1,7,Yes,11145699,9780699,3,2,5,Yes,11990699,9780699,6,0,7,Yes,9822698,9822698,1,0,0,Yes,10505198,9822698,1,0,1
N7 Tesla,60847274,29,33,0,No,0,0,0,0,0,Yes,14678771,12678771,9,1,11,No,4192273,2202273,7,0,5,Yes,14385306,12679056,8,1,12,Yes,13703638,12679888,6,0,3,Yes,13887286,12680723,5,0,2
MINI Mace Dymond,105049179,28,106,7,Yes,16470780,13470780,14,0,24,Yes,16970780,13470780,12,0,20,Yes,17458483,13478483,11,2,20,Yes,18081407,13482657,11,1,14,Yes,15530388,13482888,3,0,8,Yes,20537341,13486870,12,0,20
Pflapjack,75733619,119,4,0,Yes,12949123,12549123,2,0,4,Yes,12550887,12550887,0,0,0,Yes,12556327,12556327,0,1,0,Yes,12557506,12557506,3,2,0,Yes,12557506,12557506,0,0,0,Yes,12562270,12562270,0,0,0
rockoffanddie,99562751,41,96,0,Yes,15699868,12699868,14,0,24,Yes,14701765,12701765,8,0,11,Yes,14975331,12701581,7,2,13,Yes,16930180,12705180,12,1,14,Yes,18741810,12711027,13,0,18,Yes,18513797,12712545,11,0,16
Guiragon2,66136414,92,1,0,Yes,10872768,10872768,0,0,0,Yes,10872768,10872768,0,0,0,Yes,10872768,10872768,0,0,0,Yes,10872768,10872768,0,0,0,Yes,10983392,10983392,0,0,0,Yes,11661950,10979450,3,0,1
Yania May,66881311,27,22,0,Yes,12103728,12103728,0,0,0,Yes,13103728,12103728,4,1,6,No,0,0,0,0,0,Yes,12107847,12107847,0,2,0,Yes,16470973,12107847,8,0,12,Yes,13095035,12107847,2,0,4
dadslostcause,59913433,8,25,2,Yes,10187851,9087851,5,0,8,Yes,10341004,9091004,4,0,5,Yes,10715276,9100276,4,0,7,Yes,10127007,9103257,3,1,3,Yes,9436046,9094796,2,0,2,Yes,9106249,9106249,0,0,0
Fixer 40,37250542,0,15,0,No,3310158,1510158,8,0,15,No,0,0,0,0,0,Yes,11298059,11298059,0,0,0,No,0,0,0,0,0,Yes,11317285,11317285,0,0,0,Yes,11325040,11325040,0,0,0
Jhoots15,21318469,0,0,0,No,0,0,0,0,0,No,0,0,0,0,0,Yes,5326138,5326138,0,0,0,Yes,5327803,5327803,0,0,0,Yes,5328013,5328013,0,0,0,Yes,5336515,5336515,0,0,0
Wabba Dejabba,74283504,19,35,0,Yes,12587789,11387789,6,0,12,Yes,12397701,11397701,4,1,6,Yes,12332463,11399963,3,0,6,Yes,12569963,11399963,3,2,5,Yes,11452071,11452071,0,0,0,Yes,12943517,11462735,4,0,6
s0da p0pinski,103488451,46,89,0,Yes,17005717,14005717,14,1,24,Yes,16380717,14005717,10,0,14,Yes,16622480,14007480,8,3,15,Yes,16396879,14008129,8,1,11,Yes,19378081,14027767,9,1,13,Yes,17704577,14030044,9,1,12
Bobandy,98671008,65,79,0,Yes,16749829,13749829,13,0,24,Yes,15757944,13757944,7,0,11,Yes,16033212,13759462,7,2,13,Yes,19438837,13759462,12,1,20,Yes,16919618,13848368,9,0,11,Yes,13771568,13771568,0,0,0
8,77836961,34,31,0,Yes,15784863,12784863,14,0,24,No,9446763,8446763,4,0,3,Yes,13210207,12797707,3,1,3,Yes,12797707,12797707,1,2,0,Yes,13785122,12797934,2,0,1,Yes,12812299,12812299,1,0,0
TheMonkeyBuddha,85812783,30,71,0,Yes,16233831,12933831,14,0,24,No,3582566,2457566,7,1,7,Yes,15229526,12955776,8,2,13,Yes,13643183,12960683,2,0,1,Yes,17847872,12960683,9,0,10,Yes,19275805,12962678,11,0,16
Digolo Doorjam,45850296,0,1,1,No,0,0,0,0,0,Yes,11636332,11386332,1,0,1,Yes,11402108,11402108,0,1,0,Yes,11402738,11402738,0,0,0,Yes,11409118,11409118,0,0,0,No,0,0,0,0,0
Cubanito,40925736,0,6,0,Yes,9812948,9812948,0,0,0,Yes,9920008,9920008,0,0,0,No,1327382,577382,3,1,6,No,0,0,0,0,0,Yes,9927831,9927831,0,0,0,Yes,9937567,9937567,0,0,0
Banshey,67365690,16,8,0,Yes,10874324,10874324,0,0,0,Yes,10874324,10874324,0,0,0,Yes,11966900,10875650,3,2,5,Yes,11899214,10875464,2,1,3,Yes,10875464,10875464,0,0,0,Yes,10875464,10875464,0,0,0
Stegosaurus Dave,60781423,16,4,0,Yes,10025024,10025024,0,0,0,Yes,10025024,10025024,0,0,0,Yes,10491274,10025024,3,0,3,Yes,10025024,10025024,0,0,0,Yes,10187524,10025024,1,0,1,Yes,10027553,10027553,0,0,0
Steelers77,80859647,6,61,0,Yes,13285505,11285505,9,0,17,Yes,12297207,11297207,4,0,7,Yes,12730876,11298376,5,1,10,Yes,14027752,11297752,5,1,9,Yes,14027752,11297752,6,0,9,Yes,14490555,11303523,5,0,9
Enzo,87923517,22,62,0,Yes,15197328,12497328,13,0,21,Yes,14633096,12508096,8,0,12,Yes,14319843,12512343,6,2,10,Yes,13879085,12514085,4,1,5,Yes,17375314,12518594,8,0,14,Yes,12518851,12518851,0,0,0
Kayid,45165188,3,0,0,Yes,7521070,7521070,0,0,0,Yes,7523193,7523193,0,0,0,Yes,7523403,7523403,0,1,0,Yes,7523629,7523629,0,0,0,Yes,7535949,7535949,0,0,0,Yes,7537944,7537944,0,0,0
Uhrrr ahhrrr aaargh,39747959,3,18,0,Yes,11035573,9335573,8,0,14,No,0,0,0,0,0,Yes,9936732,9345482,4,2,4,Yes,9345482,9345482,0,0,0,No,83046,83046,0,0,0,Yes,9347126,9347126,0,0,0
cfcmattw,74503771,1,36,2,Yes,13242710,11042710,11,0,19,Yes,11047699,11047699,0,0,0,Yes,12055794,11052044,4,2,7,Yes,13318672,11051797,5,0,6,Yes,13766108,11072670,3,0,4,Yes,11072788,11072788,0,0,0
Luiz Yavok,76765423,2,47,0,Yes,14238828,11338828,12,0,20,Yes,12972740,11347740,7,1,9,Yes,12439608,11348358,4,1,8,Yes,13399507,11352007,5,0,9,Yes,11362780,11362780,1,0,0,Yes,12351960,11364772,1,0,1
