Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
Only Bak,55206566,23,28,1,No,2084170,984170,6,0,11,Yes,11097543,10097543,4,1,6,Yes,11188793,10097543,4,1,8,Yes,10610892,10107142,2,0,3,Yes,10111825,10111825,0,0,0,Yes,10113343,10113343,1,0,0
MINIxur'kthan,92744026,80,91,4,No,4016802,2416802,7,1,13,Yes,16891862,13391862,13,0,20,Yes,16679723,13382223,9,3,16,Yes,18814117,13380523,11,2,18,Yes,18937876,13368187,9,0,14,Yes,17403646,13381770,6,2,10
GrandMoff GOAT,83569934,33,52,2,Yes,14871087,13071087,11,0,18,Yes,14321087,13071087,5,0,8,No,11238097,10055597,4,2,8,Yes,15118851,13071351,6,1,12,Yes,13079190,13079190,0,0,0,Yes,14941622,13083028,3,0,6
Skcampy,72573117,7,44,0,Yes,15172941,13172941,10,0,20,Yes,14428718,13178718,5,0,9,No,2380799,1073299,5,2,9,Yes,14210584,13186834,3,0,6,Yes,13189111,13189111,0,0,0,Yes,13190964,13190964,0,0,0
OhMyPretzel,85645483,58,54,0,Yes,14703762,12303762,11,0,21,Yes,14180159,12305159,7,0,10,Yes,13435117,12343867,4,2,8,Yes,15415117,12343867,5,1,8,Yes,14543711,12343867,3,0,5,Yes,13367617,12343867,1,0,2
The Living Force,38796528,2,12,1,Yes,8431093,7331093,5,0,8,Yes,7958498,7333498,2,0,2,Yes,7693456,7352206,3,0,2,Yes,7354104,7354104,1,0,0,No,0,0,0,0,0,Yes,7359377,7359377,0,1,0
lakera05,42705883,0,18,0,Yes,7298748,6698748,5,0,6,Yes,7200008,6700008,2,0,4,Yes,7203968,6700218,4,0,3,Yes,7382718,6700218,2,0,4,Yes,6700218,6700218,0,0,0,Yes,6920223,6700848,1,0,1
Scary Poppins,38985615,0,5,0,Yes,6671919,6371919,2,0,3,Yes,6378442,6378442,0,0,0,Yes,6734737,6393487,1,0,2,Yes,6393487,6393487,0,0,0,Yes,6403515,6403515,0,0,0,Yes,6403515,6403515,0,0,0
Seeuker,49829066,3,6,0,Yes,12231927,12231927,0,0,0,No,0,0,0,0,0,Yes,13076136,12234886,3,0,6,No,27913,27913,0,0,0,Yes,12246238,12246238,0,0,0,Yes,12246852,12246852,0,0,0
Salvare,82497952,15,71,3,Yes,15277381,13077381,10,0,19,Yes,16355975,13105975,11,0,18,No,3960686,1571936,6,2,11,Yes,15830377,13100377,5,0,9,Yes,15983900,13101556,5,0,9,Yes,15089633,13115257,4,0,5
