Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
rockoffanddie,99063922,43,102,0,Yes,15130793,12330793,14,0,22,Yes,14336409,12336409,8,0,11,Yes,14618264,12344514,7,2,13,Yes,17317431,12346962,12,1,19,Yes,18753392,12348859,12,0,19,Yes,18907633,12350756,11,0,18
burly kernel,78093443,25,33,0,Yes,14009582,12309582,9,0,17,Yes,14076840,12326840,7,0,8,Yes,12330507,12330507,0,1,4,Yes,13013703,12331203,2,2,4,Yes,12330408,12330408,0,0,0,Yes,12332403,12332403,0,0,0
PaulB086,91098786,108,60,0,Yes,15914260,13114260,12,0,22,Yes,14365439,13115439,6,0,8,Yes,14751124,13122374,6,2,9,Yes,16200812,13129562,6,1,11,Yes,14664410,13136910,4,0,5,Yes,15202741,13155241,3,0,5
Only Bak,59531042,10,21,0,Yes,10425451,9425451,6,0,10,Yes,10207332,9457332,3,0,5,Yes,9603440,9478440,1,1,1,Yes,10165773,9483273,2,1,4,Yes,9645773,9483273,1,0,1,Yes,9483273,9483273,1,0,0
DoritosJesus,88075511,17,67,2,Yes,13492944,11892944,7,0,4,Yes,14164020,11914020,8,0,22,Yes,13509897,11914897,7,2,11,Yes,15669536,11915786,8,1,12,Yes,15819023,11919022,7,0,9,Yes,15420091,11928371,5,0,9
MINIxur'kthan,104055365,68,115,1,Yes,15590372,12590372,14,1,24,Yes,16111349,12611349,13,0,19,Yes,16929176,12607926,12,3,23,Yes,17702424,12610080,11,2,16,Yes,19306172,12617264,11,0,17,Yes,18415872,12614620,10,2,16
CloneOfPumbaa,73195737,29,0,0,Yes,12191530,12191530,0,0,0,Yes,12191740,12191740,0,0,0,Yes,12195266,12195266,0,1,0,Yes,12195266,12195266,0,0,0,Yes,12209345,12209345,0,0,0,Yes,12212590,12212590,0,0,0
GrandMoff GOAT,66041168,13,27,0,Yes,12298704,12298704,0,0,0,Yes,13301016,12301016,4,0,7,Yes,13363343,12339593,3,1,2,Yes,14049789,12343539,5,0,14,Yes,13028316,12345816,2,0,4,No,0,0,0,0,0
Skcampy,64166025,8,34,0,No,9411936,8211936,6,0,0,Yes,14352903,12477903,7,0,22,No,1240385,557885,2,2,2,Yes,12481671,12481671,0,0,2,Yes,13168233,12485733,2,0,4,Yes,13510897,12523709,2,0,4
OhMyPretzel,70672247,16,15,0,Yes,11321401,11321401,0,0,0,Yes,12571401,11321401,5,0,8,Yes,12073681,11323681,3,1,6,Yes,11405227,11405227,0,2,0,Yes,11405227,11405227,0,0,0,Yes,11895310,11407810,1,0,1
