Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
Enzo,89126563,22,77,0,Yes,15446436,12446436,13,0,24,Yes,14577453,12452453,8,0,12,Yes,14434832,12464832,7,1,11,Yes,15193968,12463968,8,1,13,Yes,14170218,12463968,6,0,7,Yes,15303656,12463968,7,0,10
Chapolin Colorado,83096730,9,29,0,Yes,15176472,13276472,10,0,19,Yes,14783682,13283682,6,0,10,Yes,13282416,13282416,0,1,0,Yes,13282416,13282416,0,2,0,Yes,13285150,13285150,0,0,0,Yes,13286594,13286594,0,0,0
rockoffanddie,99235964,55,102,0,Yes,15587888,12587888,14,0,24,Yes,14587888,12587888,8,0,11,Yes,14862696,12588946,7,2,13,Yes,16396440,12602065,12,1,16,Yes,18360660,12602065,13,0,19,Yes,19440392,12609296,11,0,19
SuperKlago,51883079,6,13,0,Yes,9179549,8379549,5,0,8,Yes,8890096,8390096,2,0,4,Yes,8397489,8397489,0,1,0,Yes,8404859,8404859,0,0,0,Yes,8580849,8418349,1,0,1,Yes,8430237,8430237,0,0,0
burly kernel,53284989,27,15,0,No,340049,340049,0,0,0,Yes,13872579,12497579,6,0,9,Yes,13174712,12492212,2,1,4,No,876289,535039,1,1,2,Yes,12501232,12501232,0,0,0,Yes,12520128,12520128,0,0,0
PaulB086,94541014,104,68,0,Yes,16071382,13271382,12,0,22,Yes,15021382,13271382,6,0,9,Yes,14699369,13266869,6,2,10,Yes,16342842,13271592,6,1,11,Yes,16348648,13277398,5,0,8,Yes,16057391,13296922,5,0,8
Only Bak,60633813,14,25,0,Yes,10878992,9578992,9,0,13,Yes,10339674,9589674,4,0,5,Yes,10594474,9590724,6,2,7,Yes,9606099,9606099,0,0,0,Yes,9607287,9607287,1,0,0,Yes,9607287,9607287,1,0,0
DoritosJesus,49839442,22,46,1,No,5606953,2806953,12,0,22,Yes,13087066,12087066,4,0,6,No,1034081,534081,2,1,4,No,2849785,1484785,3,2,5,Yes,13462745,12097745,6,0,5,Yes,13798812,12098655,4,0,4
MINIxur'kthan,103454558,73,114,8,Yes,15779208,12779208,14,1,24,Yes,16291982,12791982,13,0,20,Yes,17090059,12768809,12,3,22,Yes,17697462,12767618,11,2,18,Yes,19620073,12752415,11,0,18,Yes,16975774,12797491,8,2,12
CloneOfPumbaa,73660826,11,0,0,Yes,12257467,12257467,0,0,0,Yes,12263611,12263611,0,0,0,Yes,12279056,12279056,0,1,0,Yes,12285787,12285787,0,0,0,Yes,12285787,12285787,0,0,0,Yes,12289118,12289118,0,0,0
