AllyCode,Name,DiscordTag,DiscordId,CharacterGP,ShipGP,LeagueId,SkillRating,TotalScore,ModScore,GearScore,Star7Count,G11Count,G12Count,G13Count,ZetaCount,OmiCount,TWOmiCount,GACOmiCount,TBOmiCount,CQOmiCount,Relic1Count,Relic2Count,Relic3Count,Relic4Count,Relic5Count,Relic6Count,Relic7Count,Relic8Count,Relic9Count,Relic10Count,Mod6Dot,Speed10,Speed15,Speed20,Speed25,UltimateGLCount
729835146,"Yania May","YaniaMay#7722",433280499042091014,7705327,4567421,"AURODIUM",2755,9.62,3.06,6.56,345,10,17,249,306,49,13,31,4,1,3,2,39,5,79,12,58,32,12,1,460,613,261,92,14,9
473794447,"ItzBerndern","ItzBerndern#5396",200418284783403013,9161013,4980707,"KYBER",3381,12.31,5.21,7.1,385,0,14,293,403,87,16,60,9,1,3,1,29,1,74,14,80,51,37,3,720,970,476,261,74,10
611865263,"Salvare","Salvare#2619",467081223676624897,8163832,4736860,"AURODIUM",2937,11.4,5.01,6.39,367,0,66,239,372,52,17,33,1,0,4,6,18,10,73,8,88,13,12,1,581,933,427,185,51,10
341125679,"8","8........#0588",476527780746756103,8378114,4752712,"AURODIUM",2729,10.91,4,6.91,361,2,16,285,355,56,13,33,7,0,18,8,27,2,81,21,94,19,10,1,714,918,367,134,25,9
453925665,"N7 Tesla","n7tesla#0000",406243814748192768,8016683,4852834,"AURODIUM",2748,13.29,6.51,6.77,358,4,13,275,322,56,15,38,2,1,4,0,53,9,91,13,77,18,10,0,530,1071,543,217,74,9
788557913,"s0da p0pinski","s0da_p0pinski#0000",481439948671680515,9227047,5095843,"KYBER",3453,12.51,5.35,7.15,374,0,5,307,412,89,15,71,2,1,1,2,6,2,79,32,130,32,18,1,738,1164,532,216,42,10
778628584,"Bobandy","bobandy8960#0000",669017708443992086,9052812,4951300,"KYBER",3606,11.76,4.64,7.13,379,0,9,307,416,94,19,71,3,1,2,1,37,13,83,15,114,19,20,1,697,1122,468,154,24,10
944998814,"Philadelphia Collins","_philadelphiacollins#0000",668504480861388830,9065273,4959956,"KYBER",3480,12.32,5.23,7.09,379,0,13,301,419,89,15,68,4,1,3,0,33,10,78,12,117,24,22,1,916,1035,522,206,26,10
879666349,"Skcampy","skcampy#3655",297208034860597248,8133418,4779287,"KYBER",3071,9.08,2.71,6.37,343,7,16,252,372,42,6,32,1,0,6,1,34,4,63,10,95,22,12,1,784,627,248,72,13,9
716951122,"MINI Mace Dymond","dymo0000",612382242475606018,8782608,4913109,"KYBER",3507,10.48,3.57,6.9,378,1,19,287,395,72,17,49,5,0,3,0,49,6,80,12,76,38,22,0,860,890,352,95,22,10
436482977,"PaulB086","paulb086#0000",403550274435678209,8702380,4909974,"KYBER",3076,13.12,5.8,7.33,376,0,13,301,296,72,21,48,3,0,2,0,5,24,109,10,95,44,12,0,455,1322,528,258,51,9
187142131,"Digolo Doorjam","Digolo doorjam#3841",391026951705329665,7290118,4373770,"CHROMIUM",2543,7.66,2.18,5.49,340,7,70,182,339,45,19,19,6,0,5,3,29,6,57,5,54,13,9,0,678,433,187,36,3,7
712815396,"MINIxur'kthan","xurkthan",518611328026411020,8300625,4845949,"KYBER",3211,12.18,5.22,6.96,367,0,24,279,343,68,27,33,7,1,4,3,34,2,86,14,83,33,14,0,590,918,437,231,62,6
948786289,"Uhrrr ahhrrr aaargh","uhrr#0000",391831411444809729,5965568,3706872,"BRONZIUM",2130,9.08,3.48,5.6,309,12,18,168,224,9,6,2,1,0,2,0,22,2,74,7,47,12,1,0,289,480,216,115,20,8
141987319,"Saki","eevie",188160447986401280,5647545,3530396,"AURODIUM",2543,8.89,2.6,6.3,281,4,22,179,194,33,4,27,2,0,3,0,34,0,61,6,54,11,6,0,289,358,152,78,16,5
235598485,"rockoffanddie","rockoffanddie#5252",894632266708451399,8361942,4656206,"KYBER",3411,10.98,3.79,7.19,373,1,11,289,305,72,12,54,4,1,3,2,30,7,97,13,92,23,18,0,536,721,332,151,35,10
482555984,"TheMonkeyBuddha","⁦m●nk🇨🇦⁩#5843",387297197533954049,8569080,4773067,"KYBER",3342,11.62,4.52,7.1,378,1,16,294,328,79,18,58,1,1,7,5,41,5,112,15,61,29,16,3,533,934,416,189,28,10
483564429,"burly kernel","burlykernel",392357312825655296,8178226,4571399,"KYBER",2956,9.69,2.68,7.01,366,2,22,275,338,69,18,45,5,1,4,1,44,3,93,14,81,16,18,0,516,478,231,106,22,10
285458979,"OhMyPretzel","ohmypretzel",734490257289904140,7721562,4349297,"KYBER",2955,9.93,2.94,6.99,356,2,13,263,257,66,10,51,3,1,5,4,38,3,77,22,72,26,12,0,468,639,258,78,8,7
752448563,"GrandMoff GOAT","GrandMoff GOAT#9745",740627301980569602,8228291,4670339,"KYBER",3280,11.38,4.48,6.89,347,3,19,274,310,72,12,57,3,0,5,0,37,2,95,13,93,19,10,0,792,780,392,175,34,9
123915621,"Enzo","everyusernameiwantedwastaken",305038025031942154,8084075,4766292,"KYBER",3499,9.76,2.67,7.1,357,0,26,277,268,67,19,48,0,0,1,2,32,1,111,8,86,18,17,0,617,541,232,91,20,9
662698148,"Wabba Dejabba","recon224#0000",199745725515431937,7289131,4376956,"KYBER",3094,12.19,6.12,6.08,338,3,34,211,284,27,13,12,1,0,4,1,24,2,69,4,83,18,6,0,506,866,448,258,60,9
762683647,"Ro-Tahn Taske","_vetra_#0000",152569189314461696,7713902,4638517,"BRONZIUM",2370,9.62,3.04,6.58,346,7,11,256,310,55,11,36,6,1,3,0,46,2,99,4,70,18,12,0,487,519,242,120,28,8
289231731,"Pflapjack","pflapjack#8956",560550090909941760,8111122,4708531,"CHROMIUM",2694,9.11,2.54,6.56,372,0,53,257,346,38,12,20,3,1,6,7,42,8,104,9,54,16,9,0,655,605,228,81,13,9
296113458,"Cubanito","brady0391",1155009066695938108,6241858,4101924,"KYBER",3267,9,2.94,6.07,328,1,27,198,194,38,1,33,3,1,9,3,35,3,59,26,44,6,7,0,345,393,189,89,24,5
529186388,"HonkaHonka","honkahonka6368",515764710969180171,6929801,4022298,"KYBER",3318,10.97,3.97,7,327,6,14,244,219,51,2,47,1,1,3,1,39,2,89,9,74,11,7,0,485,521,296,122,23,6
858335717,"Kayid","arjanpm",187314247548665857,5015339,2801909,"BRONZIUM",2327,6.74,1.23,5.51,256,11,30,135,135,19,9,7,3,0,17,8,16,2,46,9,26,7,2,1,252,211,71,16,3,3
787622886,"Stegosaurus Dave","⁦Stegosaurus Dave⁩#6156",1059897371477147648,6388798,4075945,"CHROMIUM",2617,7.88,1.63,6.26,316,5,16,210,198,19,4,15,0,0,6,3,43,6,86,4,47,10,5,0,457,355,121,30,2,8
372864427,"Gut0182","gut0182",425717530288717845,7607416,4486541,"CHROMIUM",2500,9.75,2.45,7.3,362,1,13,279,220,55,9,41,4,1,3,2,44,0,124,13,64,11,16,0,324,368,197,92,17,8
729396135,"Berk Law","berklaw#0000",388527992349130752,8214563,4628979,"CHROMIUM",2679,11.92,5.24,6.68,361,1,27,267,359,51,13,31,6,0,13,5,32,21,60,15,75,27,10,1,984,975,468,198,28,8
945871848,"Toughnoodles","ToughNoodles117 🇺🇸 (PST)#5388",300810383558705152,7351428,4482913,"KYBER",3159,10.32,4.21,6.11,347,10,28,224,271,54,12,39,3,0,13,0,30,2,82,7,56,20,9,0,486,701,314,170,41,7
