AllyCode,Name,DiscordTag,DiscordId,CharacterGP,ShipGP,LeagueId,SkillRating,TotalScore,ModScore,GearScore,Star7Count,G11Count,G12Count,G13Count,ZetaCount,OmiCount,TWOmiCount,GACOmiCount,TBOmiCount,CQOmiCount,Relic1Count,Relic2Count,Relic3Count,Relic4Count,Relic5Count,Relic6Count,Relic7Count,Relic8Count,Relic9Count,Relic10Count,Mod6Dot,Speed10,Speed15,Speed20,Speed25,UltimateGLCount
718866547,"TSZ","⁦tsz_dsc⁩#0000",529629232142483472,4520986,3173337,"BRONZIUM",2201,5.37,1.08,4.29,276,6,66,86,116,16,1,12,3,0,1,2,10,3,46,5,13,4,1,1,183,162,54,22,2,3
611512176,"Ran Gindo","Ran Gindo#3526",738378777809387551,3116760,2482457,"BRONZIUM",2264,7.25,2.73,4.51,215,9,27,74,107,5,4,1,0,0,0,0,5,1,54,4,7,3,0,0,118,234,84,51,13,2
984762491,"Snake Eyes","Alpha Centauri#3644",335174019504668672,2574393,1622641,"CARBONITE",1950,3.27,0.76,2.51,179,7,44,22,56,2,1,1,0,0,1,2,9,2,1,0,6,0,0,0,58,78,23,6,0,0
566982786,"Nearfuture07800","nearfuture07800",357852480924549121,5119111,3486277,"CARBONITE",1941,5.52,0.6,4.93,268,12,42,127,93,14,8,6,0,0,0,1,26,4,62,10,21,3,0,0,150,148,37,5,0,0
624947575,"MasterofTech","masteroftech#0000",774059780963696671,2956322,1729871,"CHROMIUM",2422,5.86,1.64,4.22,179,9,36,53,75,12,3,6,3,0,0,0,12,2,22,2,12,2,1,0,144,133,54,18,3,1
467737697,"Ifrit","_ifrit#0000",79675879583645696,3257996,2720914,"CARBONITE",2019,5.41,0.5,4.91,224,7,10,98,63,8,4,4,0,0,1,1,33,3,49,1,8,2,0,0,66,71,19,5,0,1
777682937,"vilelordx","⁦Gonzo⁩#6300",228626896298967044,2837974,1912364,"CARBONITE",2015,6.41,2.64,3.78,201,2,16,58,63,10,5,4,0,1,7,0,23,0,18,3,6,0,1,0,101,145,75,47,9,0
415956519,"Çarbuncle","_ifrit#0000",79675879583645696,2436219,1271553,"BRONZIUM",2117,5.01,0.75,4.27,157,5,36,43,54,11,2,7,0,0,0,0,23,1,11,2,3,1,1,0,58,73,20,8,1,0
477763987,"Lara Posting","laraposting",687277064151105569,2900503,1835655,"CARBONITE",1728,3.02,0.71,2.31,196,12,45,23,66,7,2,5,0,0,0,1,9,4,6,3,0,0,0,0,72,90,25,3,0,0
733856671,"LordMika","ok9943#0000",283719755431411716,2927759,1937522,"BRONZIUM",2266,5.93,2.48,3.45,186,12,35,43,75,7,0,7,0,0,0,0,10,3,10,2,11,6,0,0,89,179,76,38,7,2
928569852,"Cole","cole#1526",472899091248971786,5571898,3838474,"CARBONITE",2068,6.86,1.17,5.69,287,5,40,168,191,19,7,10,1,1,17,3,17,6,82,12,23,5,1,0,176,209,73,18,5,3
173765634,"dragonmaster104050","⁦dragonmaster104050⁩#4278",371173342746640394,2896695,1814824,"CARBONITE",1745,1.69,0.17,1.52,229,13,30,16,35,5,2,2,0,1,2,4,7,1,1,0,0,1,0,0,14,53,6,0,0,0
173239834,"Lucyan96","jaydubboi",432967690852761620,1805411,1117277,"CARBONITE",1444,2.44,0.28,2.16,143,6,8,21,28,3,3,0,0,0,3,3,3,2,2,2,1,0,1,0,68,28,6,1,0,0
439326621,"Ebed Melekk","ebedmelek",693511974373556324,5942236,3662037,"AURODIUM",2746,8.16,1.1,7.07,290,2,7,217,109,27,10,15,2,0,2,0,38,0,97,6,60,11,3,0,169,213,74,27,1,5
194224161,"Myztik","myztik9",677638577739399228,3713196,2202942,"BRONZIUM",2364,6.9,1.78,5.12,219,4,46,87,69,9,2,6,0,1,4,1,24,0,38,2,15,2,1,0,145,128,67,38,8,2
716828382,"Sh8dow","notdom619",638414171729297438,6537162,3761626,"CARBONITE",1980,7.8,0.49,7.31,303,4,14,238,105,42,17,18,3,1,3,4,26,8,95,23,69,7,2,1,120,141,37,11,0,2
142862177,"Hoshiakari  Psalm","amandatee5384",697812566600056862,2345764,1610234,"CARBONITE",660,3.74,0.07,3.68,154,1,23,44,28,3,1,1,1,0,1,0,9,1,25,1,0,1,0,0,1,9,2,0,0,0
634635418,"joshloveskiki4ever",".davidlover69",685405278811848714,2138615,1607910,"CARBONITE",2035,5.39,2.76,2.63,129,9,24,25,42,6,1,4,0,1,1,0,8,0,9,0,5,2,0,0,88,116,61,30,7,0
717578863,"loM Way","wayfayer#0000",701086866128240690,4747930,3339526,"CHROMIUM",2444,7.65,3.29,4.36,260,10,33,107,189,18,3,14,0,1,0,0,19,25,37,4,18,4,0,0,241,505,149,103,27,2
818159464,"elize","zephyr0836",1151674757541007370,1017502,921062,"CARBONITE",1749,3.61,1.65,1.96,57,10,6,11,19,1,0,0,0,1,1,0,2,0,6,1,1,0,0,0,23,50,18,6,2,0
324149133,"Shieldflyer 2","shieldflyer#0000",401528486839189507,2535417,1932844,"BRONZIUM",2303,6.17,2.97,3.2,196,4,30,38,52,8,1,6,0,1,2,0,10,1,16,1,5,3,0,0,75,213,76,34,13,0
737931412,"DarthCuck","mommos700",363508618085007362,1096781,992565,"CARBONITE",2005,3.59,1.19,2.4,70,9,9,14,22,2,0,1,0,1,1,0,1,0,11,0,1,0,0,0,24,43,15,5,0,0
932147898,"Avarice07","avarice89",264602951459405828,5241373,2701563,"CARBONITE",1959,7.99,0.52,7.46,282,6,19,190,80,12,6,4,2,0,8,4,30,2,89,5,46,4,2,0,72,60,30,11,2,1
911996689,"Scary Poppins","moral_decline",1160421100778422323,3186103,1760118,"CARBONITE",2006,6.99,0.18,6.82,167,3,14,106,38,14,6,7,1,0,0,2,19,2,55,1,22,3,1,1,69,27,7,0,0,0
712374524,"Slof","slof17#0000",607686923536039956,2412986,1308189,"BRONZIUM",2092,6.72,1.63,5.08,130,11,30,53,52,9,5,4,0,0,0,0,11,1,29,4,7,0,1,0,75,118,42,20,3,1
126378274,"Ânima","_ifrit#0000",79675879583645696,1891733,1170381,"CARBONITE",1747,2.89,0.35,2.54,126,6,39,13,48,5,0,5,0,0,0,0,3,1,5,2,2,0,0,0,22,28,8,1,0,0
473878352,"Yojimbo","_ifrit#0000",79675879583645696,1610337,1013609,"CARBONITE",1704,3.05,0.53,2.52,101,3,31,11,39,4,1,3,0,0,0,1,0,0,6,1,1,1,1,0,36,29,10,3,0,0
452598193,"Joncova123","joncova123",624752676382703626,4110227,2542199,"BRONZIUM",2167,7.16,0.81,6.36,217,8,9,135,62,7,4,3,0,0,1,1,26,1,43,16,41,4,0,0,83,75,35,17,3,2
797584918,"Roachin","paparoach99",659516540777005067,2179886,1392152,"CARBONITE",1782,1.93,0.47,1.46,170,14,35,7,27,1,1,0,0,0,3,2,0,1,1,0,0,0,0,0,13,28,12,3,0,0
445946223,"Bodhi","⁦BruceM56⁩#4623",902811440535175168,2316642,1629123,"CARBONITE",2336,5.46,0.19,5.27,139,6,9,69,17,0,0,0,0,0,0,0,29,4,25,1,10,0,0,0,10,22,5,2,0,0
248974344,"Manalorian","tdog7188",1132889820268605563,2004287,1281998,"CARBONITE",1674,2.72,0.41,2.31,110,11,14,22,31,3,2,1,0,0,0,0,8,2,10,0,1,0,0,0,42,28,9,2,1,0
775724635,"Tiefighter99","fsudools23",1275184770367885385,2563739,1449658,"CARBONITE",1796,5.93,0.44,5.48,109,2,13,70,27,2,1,1,0,0,1,0,20,2,30,5,11,1,0,0,38,46,14,1,0,1
992152922,"DarthTJB","th3ripper",218989743445114880,5834300,2844216,"CARBONITE",1967,8.85,0.83,8.01,271,1,7,224,122,18,5,10,3,0,0,0,42,3,105,5,58,9,2,0,154,159,53,22,3,7
712973955,"Warrior","warrior4127#0000",318721428566441985,1767002,1848461,"CARBONITE",2017,5.2,0.63,4.57,95,0,7,52,20,2,1,1,0,0,6,0,11,0,8,7,16,3,1,0,16,22,12,5,1,1
