AllyCode,Name,DiscordTag,DiscordId,CharacterGP,ShipGP,LeagueId,SkillRating,TotalScore,ModScore,GearScore,Star7Count,G11Count,G12Count,G13Count,ZetaCount,OmiCount,TWOmiCount,GACOmiCount,TBOmiCount,CQOmiCount,Relic1Count,Relic2Count,Relic3Count,Relic4Count,Relic5Count,Relic6Count,Relic7Count,Relic8Count,Relic9Count,Relic10Count,Mod6Dot,Speed10,Speed15,Speed20,Speed25,UltimateGLCount
512762579,"elaboratebrunch","elaboratebrunch#0076",615573562388119552,5562073,3466056,"BRONZIUM",2287,5.4,0.87,4.53,302,9,85,107,187,29,7,15,5,2,0,3,20,4,26,10,22,5,7,0,254,170,57,11,1,3
441468488,"Aloha Tig808","TF808#7745",694271783100219432,5489697,3650335,"CARBONITE",1967,6.16,1.05,5.11,257,3,44,142,184,34,13,14,5,0,3,0,41,13,40,18,20,5,2,0,230,240,65,20,3,2
187989795,"Mugami saaz","SaazyGuy#1048",903704084492734524,4393851,3456192,"CARBONITE",1954,5.06,0.81,4.25,259,5,25,103,142,29,12,11,4,1,5,6,23,8,29,8,10,6,6,1,218,146,41,11,1,0
671752278,"Savage","daggo85#0000",433294994011455488,6807660,4166074,"AURODIUM",2814,10.57,4.53,6.04,333,8,24,202,282,31,15,13,3,0,1,8,27,8,66,7,55,21,9,0,351,717,311,164,45,8
978992166,"madTmax","madTmax#7784",795490851631529984,6432999,4248489,"BRONZIUM",2320,7.71,2.29,5.42,338,0,89,160,215,31,12,16,3,0,20,0,11,1,62,6,49,9,2,0,470,438,165,50,9,4
164126519,"Mathyas","mathyas.fr#0000",448116614605438976,7445280,4358537,"AURODIUM",2730,6.99,1.3,5.69,353,3,61,195,363,54,21,27,4,0,9,5,26,4,55,14,54,23,3,1,779,340,112,29,2,6
993542754,"Roninstone","⁦ronin_stone⁩#7732",744347866939523124,7888446,4884804,"CHROMIUM",2515,8.55,1.62,6.93,353,1,2,277,278,52,16,30,6,0,0,0,1,0,165,12,81,11,6,1,401,381,146,40,5,7
453487555,"Jeff2233","hhh2233#0000",723719921120313404,5213447,3477536,"AURODIUM",2778,7.13,2.39,4.74,285,10,55,114,166,31,5,25,1,0,2,0,15,3,48,6,29,7,4,0,338,321,134,55,11,5
261224415,"Pasalaqua","pasalaqua#0000",760556239150645308,5388734,3467263,"BRONZIUM",2327,7.39,2.28,5.11,292,13,56,130,168,19,7,7,4,1,0,0,36,5,40,4,39,5,1,0,205,387,138,48,5,4
319321591,"il17","slof17#0000",607686923536039956,6958858,4074852,"AURODIUM",2705,9.53,2.82,6.71,320,2,23,227,255,41,8,28,4,1,5,0,32,1,77,9,76,18,6,1,354,457,205,91,23,8
467649476,"Laz","laz0o#0000",554520636920430636,6360108,3803241,"BRONZIUM",2124,7.98,1.6,6.38,300,5,14,208,189,21,5,13,2,0,4,1,40,3,81,4,58,11,2,0,200,332,115,37,4,5
559712767,"COUNTP00P00","countpoopoo.#0000",273534927507685376,6227505,4230147,"AURODIUM",2740,8.11,2.34,5.78,296,8,22,193,207,40,8,30,2,0,1,3,44,6,87,6,36,8,2,0,333,423,152,60,20,5
262663538,"Daggo","daggo85#0000",433294994011455488,7506703,4554232,"KYBER",3171,11.38,4.71,6.67,354,2,13,251,308,47,17,27,3,0,1,13,34,5,95,5,60,23,15,0,445,667,343,202,65,8
375677287,"Pizzagod","pizzagod_#0000",329318800501637120,6077145,2974589,"CHROMIUM",2361,8.84,1.06,7.78,293,4,9,225,150,18,6,10,2,0,4,0,39,2,100,4,61,10,5,0,99,191,69,29,6,6
458151663,"redshadow","Redshadow#2522",241071348955217921,7099992,4168787,"AURODIUM",2911,8.32,2.3,6.02,334,11,28,207,255,32,7,24,1,0,4,1,28,1,85,12,54,16,5,1,530,462,185,60,5,6
741489737,"Mc","Mc#4119",275736611613048834,4777425,3571620,"CHROMIUM",5000,7.19,2.19,5,262,14,25,116,153,16,9,0,7,0,1,0,6,0,12,2,47,35,6,0,373,300,121,31,3,3
894961493,"Athletic Intern","MasterChief117#4248",375650592674152450,6134967,3207556,"CHROMIUM",2531,8.83,2.34,6.49,303,9,25,195,200,29,1,27,1,0,13,4,36,3,82,13,32,9,2,0,269,336,154,61,14,3
746847473,"Cero Kurn","cerokurn0928",1238585665713602662,5303998,3670301,"BRONZIUM",2272,7.66,2.08,5.58,270,3,30,155,195,36,10,17,8,0,0,0,4,2,73,3,38,15,0,0,496,284,125,42,3,3
132512377,"ShadowPrince14","shadowprince14",219977541912494080,7173770,4193265,"AURODIUM",2698,7.99,1.5,6.49,339,2,37,230,282,43,4,38,1,0,23,2,28,4,98,4,44,22,5,0,608,392,123,35,4,5
635297168,"CQ Kryptic","cqkryptic",909934448429138000,6159132,3551257,"AURODIUM",2679,10.42,3.54,6.88,300,2,12,215,200,36,9,25,2,0,1,0,46,8,94,3,51,10,1,1,348,405,204,123,50,5
853417824,"Tooti McFootie","tootimcfootie8102#0000",506298463189729280,6860554,3948721,"CARBONITE",1707,7.29,1.11,6.18,333,6,15,213,246,8,2,4,2,0,0,2,39,8,88,5,59,10,1,0,250,285,89,15,3,8
874858779,"Miyamoto Musashi","dogmeat4805",128253456031940608,3864090,2766477,"CARBONITE",1977,8.08,3.36,4.72,304,4,20,112,79,3,2,0,1,0,4,0,19,2,38,0,7,3,1,0,182,390,146,41,8,0
615488446,"Dagobah","dagobah31#0000",306992402931908609,6959678,4026973,"CHROMIUM",2498,7.99,2.04,5.95,346,3,74,190,291,43,18,16,6,1,6,1,20,10,75,10,49,11,1,0,275,551,156,53,11,8
682524318,"Jon Freestar","⁦JonFreestar⁩#4274",411894496779829248,6429018,3972152,"CHROMIUM",2444,7.31,1.79,5.51,342,8,27,185,264,16,6,6,4,0,6,1,48,2,75,9,27,9,2,0,193,432,126,40,11,5
653793885,"gingerflashmob","⁦gingerflashmob⁩#8494",639557890537160714,6938683,4292930,"CHROMIUM",2384,8.02,1.52,6.5,335,1,12,230,244,43,8,33,2,0,7,0,33,2,89,3,75,15,5,0,359,375,120,32,5,7
954236778,"Jono Granz","danger_octopod",525005960398241802,7713185,4847132,"CHROMIUM",2573,7.48,0.81,6.67,362,2,15,261,251,29,9,18,2,0,4,1,30,2,87,20,87,20,5,0,381,241,72,23,1,7
118495364,"EwokFromMars","marty1212.#0000",131070085002559488,5817356,4038332,"KYBER",3172,9.73,3.47,6.26,318,1,16,199,142,28,1,27,0,0,1,0,57,0,85,2,44,5,5,0,292,398,192,112,43,4
579256279,"JeffTerriblz","jeffterriblz#0000",409483493479809024,7458032,4176201,"AURODIUM",2763,9.14,1.56,7.58,343,0,3,276,204,57,17,35,3,1,3,0,27,0,122,17,79,13,14,1,166,324,120,65,12,7
576816879,"shieldflyer","shieldflyer#0000",401528486839189507,6228870,4241437,"AURODIUM",2805,9.14,2.68,6.46,333,3,14,218,131,37,8,27,1,1,3,0,44,1,112,8,39,5,6,0,202,431,158,99,35,5
