AllyCode,Name,DiscordTag,DiscordId,CharacterGP,ShipGP,LeagueId,SkillRating,TotalScore,ModScore,GearScore,Star7Count,G11Count,G12Count,G13Count,ZetaCount,OmiCount,TWOmiCount,GACOmiCount,TBOmiCount,CQOmiCount,Relic1Count,Relic2Count,Relic3Count,Relic4Count,Relic5Count,Relic6Count,Relic7Count,Relic8Count,Relic9Count,Relic10Count,Mod6Dot,Speed10,Speed15,Speed20,Speed25,UltimateGLCount
512762579,"elaboratebrunch","elaboratebrunch#0000",615573562388119552,5878256,3525294,"BRONZIUM",2092,5.76,0.83,4.93,312,9,80,131,209,33,11,15,5,2,5,3,16,6,34,11,24,5,7,0,268,172,57,12,1,3
441468488,"Aloha Tig808","TF808#7745",694271783100219432,5547340,3649969,"CARBONITE",1578,6.25,1.05,5.2,259,3,43,146,185,36,14,14,6,0,3,0,42,13,41,19,19,7,2,0,227,238,65,21,3,2
671752278,"Savage","etorphine#0000",469544434816516097,7335451,4276114,"KYBER",3042,11.35,5.09,6.26,347,7,29,221,315,37,17,17,3,0,1,8,27,6,69,8,64,22,11,0,437,783,370,210,59,9
978992166,"madTmax","madTmax#7784",795490851631529984,6807581,4419367,"BRONZIUM",2382,8,2.35,5.65,345,1,105,171,235,33,13,17,3,0,18,5,10,1,58,6,57,14,2,0,494,480,180,53,9,4
164126519,"Mathyas","mathyas.fr#0000",448116614605438976,7888922,4526044,"AURODIUM",2822,7.42,1.36,6.05,363,3,52,226,388,61,22,33,4,0,8,3,33,5,63,18,58,23,5,1,866,354,125,31,2,6
993542754,"Roninstone","⁦ronin_stone⁩#7732",744347866939523124,8463220,4953589,"BRONZIUM",2398,8.95,1.74,7.21,365,0,4,301,326,67,23,38,6,0,0,1,0,2,169,19,87,13,9,1,427,433,169,46,5,9
261224415,"Pasalaqua","pasalaqua#0000",760556239150645308,6088465,3754090,"CHROMIUM",2544,7.88,2.38,5.5,315,12,56,161,207,20,8,7,4,1,8,0,34,5,51,5,44,7,3,0,237,441,159,58,10,5
319321591,"il17","slof17#0000",607686923536039956,7425459,4250929,"KYBER",3192,10.06,3.19,6.87,331,2,26,243,276,49,12,32,4,1,6,0,30,0,75,10,86,19,12,1,422,529,247,117,27,9
467649476,"Laz","laz0o#0000",554520636920430636,6888387,4001646,"CHROMIUM",2523,8.27,1.65,6.62,320,2,25,227,213,28,9,15,2,1,6,1,38,2,85,7,66,13,3,0,229,347,124,45,9,6
262663538,"Daggo","daggo85#0000",433294994011455488,7963871,4596621,"KYBER",3159,11.59,4.69,6.89,358,2,13,269,329,57,23,31,3,0,1,17,35,3,92,7,68,25,20,0,467,707,361,212,71,9
375677287,"Pizzagod","pizzagod_",329318800501637120,6692592,3342068,"CHROMIUM",2643,8.99,1.19,7.8,308,3,14,246,188,27,9,16,2,0,6,0,39,1,98,8,73,12,9,0,110,231,86,32,7,7
458151663,"redshadow","redshadow203#0000",241071348955217921,7478838,4382236,"CHROMIUM",2530,8.55,2.31,6.24,342,11,28,226,276,37,8,28,1,0,3,1,29,2,86,13,65,16,6,2,572,486,196,63,5,6
741489737,"Mc","Mc#4119",275736611613048834,5052024,3634675,"CHROMIUM",5000,7.49,2.25,5.24,267,14,35,122,157,17,10,0,7,0,0,0,6,1,16,2,50,39,6,0,391,312,131,33,4,3
746847473,"Cero Kurn","cerokurn0928",1238585665713602662,5714009,3717615,"CHROMIUM",2554,7.93,2.03,5.91,281,4,30,173,214,40,10,20,9,0,1,0,9,2,80,4,43,16,0,0,528,304,132,42,3,3
132512377,"ShadowPrince14","shadowprince14#0000",219977541912494080,7682396,4208356,"CHROMIUM",2820,8.41,1.55,6.85,352,2,31,255,315,48,4,43,1,0,22,0,32,5,99,7,57,23,8,0,628,407,135,39,6,6
635297168,"CQ Kryptic","cqkryptic",909934448429138000,6785128,3666208,"AURODIUM",2698,10.74,3.49,7.25,315,1,7,247,224,40,10,27,3,0,3,0,47,8,98,7,64,10,2,1,370,438,220,136,56,6
853417824,"Tooti McFootie","tootimcfootie8102#0000",506298463189729280,7017363,3987621,"CARBONITE",1817,7.53,1.21,6.32,340,5,15,221,254,10,4,4,2,0,0,2,40,8,89,4,65,11,1,0,272,291,99,21,3,8
874858779,"Miyamoto Musashi","dogmeat4805#0000",128253456031940608,4134454,2883212,"CARBONITE",1866,8.45,3.55,4.9,311,5,33,118,82,4,3,0,1,0,6,0,17,1,44,1,7,3,1,0,210,404,163,49,11,0
615488446,"Dagobah","dagobah31#0000",306992402931908609,7312126,4136357,"CHROMIUM",2633,8.39,2.08,6.31,351,0,86,208,310,50,21,19,7,1,5,0,22,9,86,12,51,10,4,0,297,577,167,58,12,8
682524318,"Jon Freestar","⁦JonFreestar⁩#4274",411894496779829248,6663857,4029301,"CHROMIUM",2414,7.34,1.77,5.57,352,13,26,193,275,20,7,9,4,0,8,1,49,2,76,10,27,10,3,0,193,441,129,41,11,5
653793885,"gingerflashmob","gingerflashmob#0000",639557890537160714,7365054,4481107,"AURODIUM",2715,8.39,1.7,6.69,346,1,17,248,257,45,10,33,2,0,9,0,39,2,90,6,80,13,9,0,390,399,141,39,8,8
954236778,"Jono Granz","danger_octopod",525005960398241802,8310504,4939523,"AURODIUM",2653,7.87,0.78,7.08,372,2,9,295,278,35,14,19,2,0,5,0,32,5,88,28,102,21,6,0,404,256,75,23,1,8
576816879,"shieldflyer","shieldflyer#0000",401528486839189507,6959602,4395511,"KYBER",3263,10.11,3.37,6.74,353,4,15,245,182,46,8,35,2,1,5,0,45,1,104,7,68,6,6,0,272,553,220,143,50,6
358349725,"Kroxata","cbbartman#0000",102402962168487936,5016721,3068037,"CHROMIUM",2366,7.57,2.63,4.94,257,8,65,113,162,18,8,10,0,0,5,7,24,6,39,5,22,4,1,0,234,415,148,44,8,1
829847676,"Ren Gundo","Ren Gundo#4381",702692683440848956,5577668,3913164,"CARBONITE",1813,10.72,5.17,5.54,284,5,14,158,187,18,8,7,3,0,4,0,11,1,55,1,62,20,4,0,382,428,311,115,28,6
655852682,"Loreck Avery II","__alk__#0000",566723844048683030,4153515,2726151,"BRONZIUM",2451,7.09,2.02,5.07,255,5,26,111,123,11,1,8,1,1,6,0,30,0,39,4,20,3,2,0,123,174,86,40,12,3
599481582,"Ater","roadflare_",349996746618961922,4487976,2640906,"CHROMIUM",2530,8.21,2.6,5.61,246,3,34,124,119,20,7,11,1,1,3,0,14,1,41,5,34,4,3,0,177,213,119,59,16,2
567857492,"Warrior","warrior4127#0000",318721428566441985,8688397,4605972,"KYBER",3345,11.7,4.18,7.52,368,0,2,313,328,82,26,49,5,1,4,0,42,7,110,17,90,26,17,0,648,721,372,190,46,9
141195412,"MINI Warrior","warrior4127#0000",318721428566441985,7429218,4128199,"CHROMIUM",2538,10.1,2.77,7.33,339,2,17,260,211,56,21,30,4,1,3,0,33,0,98,12,81,22,11,0,362,417,214,108,22,9
156859688,"Ka Gon","kirokuh",687404744502673455,5958933,3124837,"CHROMIUM",2653,9.06,1.21,7.85,277,0,9,227,123,27,4,20,2,1,7,4,31,10,81,7,67,13,5,1,94,183,77,33,7,3
295928884,"Warrior CB","warrior4127#0000",318721428566441985,8040395,4632282,"CHROMIUM",2622,11.03,4.42,6.61,351,5,36,249,347,47,14,26,5,1,6,0,37,9,59,8,89,27,13,1,642,744,379,150,37,9
674877391,"Akbahr","akbahr#0000",624647426871001130,7860716,4484313,"CHROMIUM",2538,8.59,1.63,6.96,345,4,19,271,283,41,13,23,4,0,4,4,39,2,110,16,56,28,6,0,238,387,140,54,9,7
661525633,"Snub","evilrene#0000",336966536902475786,5685293,2956468,"CARBONITE",1994,8.91,1.41,7.5,247,0,15,206,114,32,8,19,5,0,4,2,27,2,88,28,38,5,7,1,81,273,76,49,16,1
384139766,"EvilRene","evilrene#0000",336966536902475786,4651270,2579058,"CHROMIUM",2399,8.98,2.8,6.18,233,5,28,142,108,26,14,7,4,1,6,5,29,1,52,5,29,1,6,0,144,282,125,88,21,1
283382626,"Winter","wintercell_#0000",730354232040882176,6697579,3966265,"AURODIUM",2524,8.61,1.99,6.62,331,0,51,212,202,27,7,16,3,1,5,1,27,3,101,12,41,8,11,0,201,247,137,76,14,7
337972148,"TBergh","tberghino#0000",663351303589855252,4117103,2369670,"CHROMIUM",2755,8.02,2.41,5.61,222,3,33,115,124,23,9,13,0,1,6,2,36,1,31,5,17,5,3,0,190,226,104,41,13,2
633248529,"oPlat","oplatgamess",1078569864559607879,4019261,2034638,"AURODIUM",2750,8.62,2.89,5.74,193,10,25,109,106,16,2,12,2,0,2,0,29,1,36,6,20,4,2,1,164,221,113,59,23,2
471973962,"Logik","logikkal",114203270540558338,4746924,2733656,"AURODIUM",2798,9.15,3.14,6.01,245,0,38,134,145,30,2,27,0,1,1,0,14,0,71,3,35,5,1,0,289,348,152,78,20,4
249818728,"Etorphinee","etorphine#0000",469544434816516097,4418767,2397739,"CHROMIUM",2461,9.56,3.49,6.07,221,11,24,135,116,8,1,6,1,0,8,1,25,5,35,18,22,5,1,0,126,424,163,71,16,2
624947575,"MasterofTech","masteroftech#0000",774059780963696671,3674581,1974890,"CHROMIUM",2555,6.79,1.64,5.14,200,8,33,88,116,15,3,7,5,0,3,0,11,3,36,3,17,2,1,1,176,169,67,22,4,2
439326621,"Ebed Melekk","ebedmelek",693511974373556324,6862115,4123908,"AURODIUM",2681,8.64,1.38,7.25,319,1,9,255,158,36,13,19,3,1,7,2,41,0,105,9,73,12,4,1,216,271,105,37,6,7
